1276600617	20241128	202411	2024	2024.8986	JPNJUD	FUKUI	JPN					JUD													1	090	090	09	2	-2.0	5	1	5	-3.21428571428571	4	Mihama, Japan (general), Japan	JA	JA00	36481	35.6333	140.06	9259419	0								4	Mihama, Japan (general), Japan	JA	JA00	36481	35.6333	140.06	9259419	20251128103000	https://www.japantimes.co.jp/news/2025/11/28/japan/crime-legal/court-rejection-injunctions-mihama-takahama/
1276600618	20241128	202411	2024	2024.8986	JPNJUD	FUKUI	JPN					JUD													1	110	110	11	3	-2.0	5	1	5	-3.21428571428571	4	Mihama, Japan (general), Japan	JA	JA00	36481	35.6333	140.06	9259419	0								4	Mihama, Japan (general), Japan	JA	JA00	36481	35.6333	140.06	9259419	20251128103000	https://www.japantimes.co.jp/news/2025/11/28/japan/crime-legal/court-rejection-injunctions-mihama-takahama/
1276600619	20241128	202411	2024	2024.8986	USA	THE US	USA																		0	061	061	06	2	6.4	10	1	10	0.77972709551657	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	0								4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20251128103000	https://economictimes.indiatimes.com/news/economy/foreign-trade/india-us-hold-virtual-trade-talks-deal-to-be-locked-before-year-end-report/articleshow/125633979.cms
1276600620	20241128	202411	2024	2024.8986	USAJUD	TEXAS	USA					JUD			JUD	COURT OF APPEALS						JUD			0	016	016	01	1	-2.0	3	1	3	-5.18134715025907	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20251128103000	https://www.decaturdaily.com/news/other_news/national/frustrated-by-missing-mail-one-american-took-the-postal-service-to-court/article_749f1382-534e-455b-adcb-646e426a3bab.html
1276600621	20241128	202411	2024	2024.8986	USAJUD	TEXAS	USA					JUD			USA	UNITED STATES	USA								0	016	016	01	1	-2.0	1	1	1	-5.18134715025907	3	Euless, Texas, United States	US	USTX	TX439	32.8371	-97.082	1335538	3	Euless, Texas, United States	US	USTX	TX439	32.8371	-97.082	1335538	3	Euless, Texas, United States	US	USTX	TX439	32.8371	-97.082	1335538	20251128103000	https://www.decaturdaily.com/news/other_news/national/frustrated-by-missing-mail-one-american-took-the-postal-service-to-court/article_749f1382-534e-455b-adcb-646e426a3bab.html
1276600622	20241128	202411	2024	2024.8986	USAJUD	TEXAS	USA					JUD			USA	UNITED STATES	USA								0	016	016	01	1	-2.0	1	1	1	-5.18134715025907	2	Texas, United States	US	USTX		31.106	-97.6475	TX	3	Euless, Texas, United States	US	USTX	TX439	32.8371	-97.082	1335538	3	Euless, Texas, United States	US	USTX	TX439	32.8371	-97.082	1335538	20251128103000	https://www.decaturdaily.com/news/other_news/national/frustrated-by-missing-mail-one-american-took-the-postal-service-to-court/article_749f1382-534e-455b-adcb-646e426a3bab.html
1276600623	20241128	202411	2024	2024.8986	USAJUD	TEXAS	USA					JUD			USA	TEXAS	USA								0	016	016	01	1	-2.0	3	1	3	-5.18134715025907	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20251128103000	https://www.decaturdaily.com/news/other_news/national/frustrated-by-missing-mail-one-american-took-the-postal-service-to-court/article_749f1382-534e-455b-adcb-646e426a3bab.html
1276600624	20251029	202510	2025	2025.8192	AGO	ANGOLA	AGO								PHL	PHILIPPINE	PHL								0	061	061	06	2	6.4	2	1	2	-3.37268128161889	1	Angola	AO	AO		-12.5	18.5	AO	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	1	Angola	AO	AO		-12.5	18.5	AO	20251128103000	https://nuclear-news.net/2025/11/28/2-b1-prawns-sneakers-and-spices-what-we-know-about-indonesias-radioactive-exports/
1276600625	20251121	202511	2025	2025.8795	GBR	UNITED KINGDOM	GBR								GOV	CHIEF EXECUTIVE						GOV			0	020	020	02	1	3.0	4	1	4	-4.57280385078219	1	United Kingdom	UK	UK		54	-4	UK	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20251128103000	https://www.theguardian.com/business/2025/nov/28/us-regulators-taking-seriously-allegations-of-bankers-support-for-epstein
1276600626	20251121	202511	2025	2025.8795	GBR	UNITED KINGDOM	GBR								RUS	RUSSIA	RUS								0	040	040	04	1	1.0	4	1	4	-3.03030303030303	4	Glasgow, Glasgow City, United Kingdom	UK	UKV2	40176	55.8333	-4.25	-2597039	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20251128103000	https://www.dailyrecord.co.uk/news/politics/former-ukip-leader-scotland-denies-36321320
